institution_id,institution_display_name,institution_type,institution_country_code,simplified_institution_category,target_firm_label
I4210134607,The California Eye Institute,healthcare,US,healthcare,Other
I134359838,Alfaisal University,education,SA,education,Other
I4394709246,Government of Punjab,government,,government,Other
I335365548,University of Swat,education,PK,education,Other
I3129570296,Omar Bongo University,education,GA,education,Other
I2802304881,German Research Institute for Public Administration,facility,DE,research_institute,Other
I4210139473,Tianjin Institute of Industrial Biotechnology,nonprofit,CN,nonprofit,Other
I4210116328,Precision for Medicine (United States),company,US,company,Other
I2801148111,McLean Hospital,healthcare,US,healthcare,Other
I91203450,University of Haifa,education,IL,education,Other
I1322918889,United States Department of Veterans Affairs,government,US,government,Other
I4210086971,VA Connecticut Healthcare System,healthcare,US,healthcare,Other
I53620714,Arab American University,education,PS,education,Other
I32762134,Harokopio University of Athens,education,GR,education,Other
I174458059,National Technical University of Athens,education,GR,education,Other
I4210134795,Fortiss,nonprofit,DE,nonprofit,Other
I4210119759,Essen University Hospital,funder,DE,unknown,Other
I4210127473,Cancer Research Center,nonprofit,US,nonprofit,Other
I4391767962,Deutsches Konsortium für Translationale Krebsforschung,facility,DE,research_institute,Other
I4210123151,Rütgers (Germany),company,DE,company,Other
I177639307,University of Dundee,education,GB,education,Other
I168416876,Northern Kentucky University,education,US,education,Other
I198972184,Korea Electric Power Corporation (South Korea),company,KR,company,Other
I4210102044,Mount Sinai Hospital,healthcare,US,healthcare,Other
I4210091279,Université Sorbonne Paris Nord,education,FR,education,Other
I4210120238,PowerChina (China),company,CN,company,Other
I4210142192,Powerchina Huadong Engineering Corporation (China),company,CN,company,Other
I41198531,Nanjing University of Posts and Telecommunications,education,CN,education,Other
I118987531,Anhui Jianzhu University,education,CN,education,Other
I4210135979,Yangtze River Pharmaceutical Group (China),company,CN,company,Other
I196345858,Chungnam National University,education,KR,education,Other
I142401562,Electronics and Telecommunications Research Institute,facility,KR,research_institute,Other
I3005327000,Institute for Infocomm Research,facility,SG,research_institute,Other
I121847817,"The Graduate Center, CUNY",education,US,education,Other
I4210154454,Guizhou Provincial People's Hospital,healthcare,CN,healthcare,Other
I4210146956,Third Affiliated Hospital of Sun Yat-sen University,healthcare,CN,healthcare,Other
I4210156904,Third Xiangya Hospital,healthcare,CN,healthcare,Other
I4210097309,Jiangxi Provincial Cancer Hospital,healthcare,CN,healthcare,Other
I18925743,Shanghai University of Sport,education,CN,education,Other
I4210120485,Academy of Mathematics and Systems Science,facility,CN,research_institute,Other
I4210163497,Austin Health,healthcare,AU,healthcare,Other
I4210092133,Centro de Investigación Biomédica en Red Diabetes y Enfermedades Metabólicas Asociadas,facility,ES,research_institute,Other
I12315562,Texas Tech University,education,US,education,Other
I55283087,Asia e University,education,MY,education,Other
I66862912,Chalmers University of Technology,education,SE,education,Other
I46597724,Poznań University of Technology,education,PL,education,Other
I1340210623,Volvo (Sweden),company,SE,company,Other
I143379178,FZI Research Center for Information Technology,nonprofit,DE,nonprofit,Other
I4210133325,Institute of Process Engineering,facility,CN,research_institute,Other
I4210090529,Andover Eye Associates,nonprofit,US,nonprofit,Other
