id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I100005738,I100005738,Brigham Young University,education,education,Other,US,1,0.003138075313807531,12.0,0.0,0.0029040507612868548,0
I100066346,I100066346,University of Stuttgart,education,education,Other,DE,11,0.015428870292887028,60.0,0.000972886983046807,0.004761428570433829,1
I100116408,I100116408,University of Port Harcourt,education,education,Other,NG,1,0.0015690376569037654,6.0,0.0,8.122116555123287e-08,2
I100135526,I100135526,BGI Group (China),company,company,Other,CN,1,0.0010460251046025104,4.0,0.0,0.0035836178291722785,3
I100188998,I100188998,Harbin University of Science and Technology,education,education,Other,CN,1,0.0002615062761506276,1.0,0.0,0.0005909912206007487,3
I100288624,I100288624,John Innes Centre,facility,research_institute,Other,GB,1,0.0002615062761506276,1.0,0.0,1.594670487001461e-07,0
I100296615,I100296615,École Nationale de l’Aviation Civile,education,education,Other,FR,1,0.0010460251046025104,4.0,0.0,6.849255921083574e-07,1
I100357981,I100357981,Wannan Medical College,healthcare,healthcare,Other,CN,1,0.0007845188284518827,3.0,0.0,0.00031596609265394375,3
I100445878,I100445878,École Centrale de Nantes,education,education,Other,FR,1,0.0010460251046025104,4.0,0.0,0.001953138851518854,1
I10052268,I10052268,New Mexico State University,education,education,Other,US,1,0.0002615062761506276,1.0,0.0,3.650839195777025e-29,4
I100532134,I100532134,Université Claude Bernard Lyon 1,education,education,Other,FR,4,0.014905857740585773,62.0,0.00027655441110303154,0.004130614811589538,1
I100621029,I100621029,Bank of America,other,unknown,Other,US,1,0.0,0.0,0.0,3.211818884300829e-35,5
I100681346,I100681346,Forest Institute,education,education,Other,US,1,0.0007845188284518827,3.0,0.0,0.0005575845616129631,0
I100930933,I100930933,University College Dublin,education,education,Other,IE,8,0.008368200836820083,33.0,0.0019921523339915823,0.005554357318397827,81
I101100930,I101100930,Universidade Federal de Juiz de Fora,education,education,Other,BR,1,0.0010460251046025104,4.0,0.0,2.8604547995068976e-06,7
I101202996,I101202996,Semmelweis University,education,education,Other,HU,3,0.003922594142259414,17.0,0.0009106896890470111,0.0006739841616509677,81
I101407740,I101407740,Chandigarh University,education,education,Other,IN,2,0.0007845188284518827,3.0,2.7361368155964175e-07,3.962190220493283e-27,8
I101479585,I101479585,South China Agricultural University,education,education,Other,CN,1,0.001830543933054393,7.0,0.0,0.0014128688830764222,3
