id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I100005738,I100005738,Brigham Young University,education,education,Other,US,2,0.0016989466530750936,5.0,0.00011873762219384099,0.0005188577407232588,0
I100066346,I100066346,University of Stuttgart,education,education,Other,DE,4,0.0006795786612300374,2.0,0.0005585388181013699,3.0046485410882906e-05,57
I100191712,I100191712,Pepperdine University,education,education,Other,US,1,0.0006795786612300374,2.0,0.0,0.00027972647037326844,57
I100205273,I100205273,Universidad Técnica Particular de Loja,education,education,Other,EC,1,0.0003397893306150187,1.0,0.0,9.440310735625384e-48,3
I100288624,I100288624,John Innes Centre,facility,research_institute,Other,GB,1,0.002378525314305131,7.0,0.0,0.00348202814915659,4
I10052268,I10052268,New Mexico State University,education,education,Other,US,2,0.002378525314305131,7.0,0.0003766133159688897,0.000489526119980848,4
I100532134,I100532134,Université Claude Bernard Lyon 1,education,education,Other,FR,1,0.002378525314305131,7.0,0.0,0.0008359706558562634,38
I100538780,I100538780,Wesleyan University,education,education,Other,US,1,0.0003397893306150187,1.0,0.0,9.440310735625384e-48,6
I10091056,I10091056,Kanazawa University,education,education,Other,JP,2,0.0010193679918450561,4.0,1.963432569835254e-06,7.014909251246878e-06,7
I100930933,I100930933,University College Dublin,education,education,Other,IE,8,0.011552837240910637,38.0,0.0011003637102090997,0.009523949981530534,2
I101155339,I101155339,Korea Telecom (South Korea),company,company,Other,KR,1,0.0003397893306150187,1.0,0.0,2.568580222023074e-07,9
I101407740,I101407740,Chandigarh University,education,education,Other,IN,2,0.0010193679918450561,4.0,0.0,1.5407099377147174e-05,0
I102064193,I102064193,University of Siena,education,education,Other,IT,2,0.0013591573224600749,4.0,0.000564294370438436,0.00044261910660171606,24
I102134673,I102134673,Linköping University,education,education,Other,SE,3,0.0016989466530750936,5.0,0.0011648784195804386,0.0002997779973651272,65
I102149020,I102149020,University of North Carolina at Charlotte,education,education,Other,US,2,0.0006795786612300374,2.0,0.0,3.1605613998856546e-05,38
I102248843,I102248843,Vienna University of Economics and Business,education,education,Other,AT,1,0.002378525314305131,7.0,0.0,0.0005957008385086784,2
I102272798,I102272798,INSEAD,education,education,Other,FR,1,0.0037376826367652057,11.0,0.0,0.003186916123522156,2
I102322142,I102322142,"Rutgers, The State University of New Jersey",education,education,Other,US,9,0.010193679918450561,30.0,7.837247768476811e-05,0.005945202698931882,24
I102335020,I102335020,Karlsruhe Institute of Technology,education,education,Other,DE,2,0.0010193679918450561,3.0,0.0,0.00033949307507148674,33
I102345215,I102345215,Xihua University,education,education,Other,CN,1,0.0006795786612300374,2.0,0.0,1.0898049526073149e-06,15
I102398690,I102398690,National Natural Science Foundation of China,government,government,Other,CN,1,0.0020387359836901123,6.0,0.0,0.0005533065504644582,7
I102520234,I102520234,TH Köln - University of Applied Sciences,education,education,Other,DE,1,0.0,0.0,0.0,7.033579599578219e-56,16
I102607778,I102607778,Cleveland State University,education,education,Other,US,1,0.0013591573224600749,4.0,0.0,0.005075286011068092,44
I102893293,I102893293,State University of Malang,education,education,Other,ID,1,0.0003397893306150187,1.0,0.0,9.440310735625384e-48,18
I103163165,I103163165,Florida State University,education,education,Other,US,3,0.002378525314305131,7.0,0.0004078934917138144,0.0003482866856715521,9
I103320735,I103320735,Università Cattolica del Sacro Cuore,education,education,Other,IT,1,0.0010193679918450561,3.0,0.0,0.00013001563742933589,36
I103406327,I103406327,Western Carolina University,education,education,Other,US,1,0.0,0.0,0.0,7.033579599578219e-56,21
I103434671,I103434671,American International University-Bangladesh,education,education,Other,BD,3,0.0027183146449201497,8.0,0.0033461510831333517,7.705820658257485e-06,22
I103531236,I103531236,Boston College,education,education,Other,US,4,0.0027183146449201497,8.0,0.002788844222722859,0.00043920094718265197,9
I103635307,I103635307,"University of California, Riverside",education,education,Other,US,5,0.0016989466530750936,6.0,1.5014484357563708e-06,0.0026036497098918714,57
I103737770,I103737770,Bank of Italy,funder,unknown,Other,IT,2,0.0003397893306150187,2.0,0.0,5.041899203703187e-06,24
I104628220,I104628220,Lions Eye Institute,nonprofit,nonprofit,Other,AU,1,0.002378525314305131,7.0,0.0,0.0015762486303795948,24
