id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I102782458,I102782458,Chittagong University of Engineering & Technology,education,education,Other,BD,3,0.0005394470667565745,6.0,1.4552119416147141e-06,4.2424583530633284e-05,4
I102893293,I102893293,State University of Malang,education,education,Other,ID,2,0.00013486176668914363,1.0,0.0,1.8077108245924252e-08,4
I102913810,I102913810,Universiti Malaysia Pahang Al-Sultan Abdullah,education,education,Other,MY,2,0.0006743088334457181,5.0,0.0009713539710278216,5.134900334292135e-07,4
I103163165,I103163165,Florida State University,education,education,Other,US,14,0.010923803101820635,86.0,0.0011214431736430788,0.006039601850874447,7
I103193709,I103193709,Adamson University,education,education,Other,PH,1,0.0032366824005394474,24.0,0.0,0.00013500351277161355,4
I103225651,I103225651,Fondazione Edmund Mach,other,unknown,Other,IT,1,0.006068779501011463,45.0,0.0,0.003269798583107019,7
I103250015,I103250015,Human Sciences Research Council,nonprofit,nonprofit,Other,ZA,2,0.002157788267026298,16.0,5.820847766458856e-07,0.0015731204406327492,1
I103320735,I103320735,Università Cattolica del Sacro Cuore,education,education,Other,IT,4,0.0016183412002697237,12.0,1.9942466983211638e-05,8.042019700766615e-05,4
I103356709,I103356709,Obuda University,education,education,Other,HU,4,0.0020229265003371545,15.0,6.548453737266213e-07,0.00035419216102695915,4
I103406327,I103406327,Western Carolina University,education,education,Other,US,1,0.0,0.0,0.0,1.7276259771195807e-53,22
I103434671,I103434671,American International University-Bangladesh,education,education,Other,BD,5,0.001078894133513149,11.0,6.125957203550748e-05,1.9099030763117353e-05,23
I103531236,I103531236,Boston College,education,education,Other,US,8,0.002157788267026298,16.0,7.96728538034056e-06,0.001484212377526537,0
I103562704,I103562704,ESI Group (France),company,company,Other,FR,1,0.00026972353337828726,2.0,0.0,2.993341477936857e-06,4
I103605164,I103605164,Tohoku Institute of Technology,education,education,Other,JP,1,0.0004045853000674309,3.0,0.0,5.463550324234067e-06,2
I103635307,I103635307,"University of California, Riverside",education,education,Other,US,18,0.0032366824005394474,27.0,0.0006969919495856373,0.002793912430782951,4
I103703290,I103703290,Sakarya University,education,education,Other,TR,1,0.00026972353337828726,2.0,0.0,1.4647179076443624e-05,23
I103737770,I103737770,Bank of Italy,funder,unknown,Other,IT,2,0.00013486176668914363,2.0,0.0,2.186932551872633e-05,2
I103990859,I103990859,Pennington Biomedical Research Center,facility,research_institute,Other,US,1,0.001888064733648011,14.0,0.0,0.002858728264628598,0
I104234503,I104234503,Hokkaido University of Science,education,education,Other,JP,2,0.0013486176668914363,11.0,0.0,1.6747292627862108e-05,56
I104338594,I104338594,Inje University,education,education,Other,KR,3,0.00013486176668914363,1.0,0.0,3.623094273168283e-47,25
I10457146,I10457146,Universidad de Santiago de Chile,education,education,Other,CL,1,0.0,0.0,0.0,1.7276259771195807e-53,26
I104588304,I104588304,University of Szczecin,education,education,Other,PL,1,0.00026972353337828726,2.0,0.0,9.07303782680788e-09,4
I104628220,I104628220,Lions Eye Institute,nonprofit,nonprofit,Other,AU,1,0.0009440323668240054,7.0,0.0,0.0010459212196894032,1
I104854061,I104854061,Universidad Autónoma del Estado de Hidalgo,education,education,Other,MX,1,0.0005394470667565745,4.0,0.0,4.319036343057472e-09,15
I104914703,I104914703,Université du Québec à Chicoutimi,education,education,Other,CA,1,0.0,0.0,0.0,1.7276259771195807e-53,27
I104941359,I104941359,Al-Ahliyya Amman University,education,education,Other,JO,6,0.0024275118004045853,19.0,5.795031484433593e-05,5.333898700504527e-05,4
I105036370,I105036370,AstraZeneca (United Kingdom),company,company,Other,GB,2,0.0005394470667565745,4.0,2.297537120486033e-05,1.7556074105420492e-05,6
I105086349,I105086349,North Sichuan Medical University,education,education,Other,CN,2,0.0031018206338503033,24.0,1.273310448912875e-07,0.002520197124748661,3
I105094715,I105094715,National Institute of Technology Kurukshetra,education,education,Other,IN,3,0.00026972353337828726,3.0,0.0002429476336525765,2.6608889427175692e-05,3
I105126617,I105126617,Zhejiang International Studies University,education,education,Other,CN,4,0.0016183412002697237,14.0,0.0,0.0031143739967296924,3
I105208703,I105208703,Almaty Management University,education,education,Other,KZ,1,0.001078894133513149,8.0,0.0,1.5016360804420396e-05,23
I10535382,I10535382,Chongqing University of Posts and Telecommunications,education,education,Other,CN,22,0.004045853000674309,36.0,0.00024637950848155126,0.00554286921162746,3
I105454292,I105454292,Guru Gobind Singh Indraprastha University,education,education,Other,IN,3,0.0013486176668914363,10.0,5.681389955387446e-06,8.29230873740494e-05,4
I105818395,I105818395,University of Kashan,education,education,Other,IR,1,0.00026972353337828726,2.0,0.0,8.760710127644245e-06,0
I105991555,I105991555,Jingdezhen Ceramic Institute,education,education,Other,CN,1,0.00026972353337828726,2.0,0.0,0.00012889668668196724,7
I106053113,I106053113,Central University of Karnataka,education,education,Other,IN,1,0.0,0.0,0.0,1.7276259771195807e-53,28
I106079672,I106079672,Hebei University of Engineering,education,education,Other,CN,2,0.00026972353337828726,2.0,0.0,0.00013276031098506745,3
I106118109,I106118109,Eötvös Loránd University,education,education,Other,HU,7,0.004989885367498314,37.0,0.0004921497335823097,0.0031807802273839413,0
I106157433,I106157433,University of Kassel,education,education,Other,DE,2,0.006473364801078895,48.0,3.825994729828686e-06,0.003376830906567664,6
I106165777,I106165777,University of Central Florida,education,education,Other,US,41,0.013486176668914364,116.0,0.002576567037400095,0.012667679968890668,0
I106245021,I106245021,Çankaya University,education,education,Other,TR,1,0.00013486176668914363,1.0,0.0,5.792247168053164e-08,1
I106296451,I106296451,University of Foggia,education,education,Other,IT,3,0.0009440323668240054,11.0,8.85253931148951e-07,0.0003499751138438873,4
