id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community,company_neighbor_count,education_neighbor_count,research_institute_neighbor_count
I97018004,I97018004,Stanford University,education,education,Other,US,318,0.09267241379310345,1437.0,0.1965713087700567,0.1955268107477081,0,66,328,108
I136199984,I136199984,Harvard University,education,education,Other,US,206,0.09226831896551724,1451.0,0.1432564151160435,0.20482042720138602,0,46,305,99
I99065089,I99065089,Tsinghua University,education,education,Other,CN,305,0.06223060344827586,1054.0,0.1404705051595482,0.23437663194827474,4,68,230,58
I19820366,I19820366,Chinese Academy of Sciences,government,government,Other,CN,245,0.06734913793103448,1220.0,0.098378643453548,0.2652163846855801,4,35,283,116
I40120149,I40120149,University of Oxford,education,education,Other,GB,133,0.08674568965517242,1006.0,0.09138905524091384,0.11083797899467857,24,41,298,116
I63966007,I63966007,Massachusetts Institute of Technology,education,education,Other,US,164,0.06842672413793104,935.0,0.07088100659254645,0.14676557806783141,0,46,247,95
I172675005,I172675005,Nanyang Technological University,education,education,Other,SG,217,0.03892780172413793,714.0,0.06899586938018425,0.1436033810496911,4,27,200,29
I165932596,I165932596,National University of Singapore,education,education,Other,SG,183,0.060075431034482756,819.0,0.06845311566950417,0.14726431240213553,4,27,235,52
I889458895,I889458895,University of Hong Kong,education,education,Other,HK,218,0.05024245689655173,865.0,0.06303692195927249,0.21786763040785728,4,35,216,39
I74973139,I74973139,Carnegie Mellon University,education,education,Other,US,173,0.047009698275862065,612.0,0.06080905321658194,0.10237646416581751,0,40,216,48
I45129253,I45129253,University College London,education,education,Other,GB,121,0.07327586206896551,876.0,0.058855114027432986,0.10437950360749798,16,31,290,84
I177725633,I177725633,Chinese University of Hong Kong,education,education,Other,HK,153,0.05212823275862069,753.0,0.05869956030866119,0.17801144425454982,4,29,230,29
I1294671590,I1294671590,Centre National de la Recherche Scientifique,government,government,Other,FR,84,0.06667564655172414,728.0,0.05659732019085655,0.04338141341001011,1,20,244,165
