id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I100005738,0.00062015503875969,2.0,0.0,8.772483085637694e-28,0
I100066346,0.0015503875968992248,5.0,0.00015972820167420797,0.0022913104973537515,1
I100135526,0.00248062015503876,8.0,0.0,0.0002767464403898623,2
I100288624,0.00062015503875969,2.0,0.0,1.7201174983552218e-05,42
I100532134,0.005891472868217055,19.0,7.961697384052975e-06,0.005603978723521382,4
I100653424,0.00062015503875969,2.0,0.0,8.772483085637694e-28,5
I100887729,0.000310077519379845,1.0,0.0,8.903712650577212e-31,6
I100930933,0.008372093023255815,29.0,0.0010045573622488842,0.0044740406468351925,7
I101202996,0.00062015503875969,2.0,0.0,2.926882192416745e-06,8
I101326570,0.0018604651162790699,6.0,0.0,7.568108422890731e-06,9
I101407740,0.000310077519379845,1.0,0.0,1.31990305425726e-09,10
I102117144,0.002170542635658915,7.0,0.0,1.5238509068648808e-07,9
I102134673,0.00992248062015504,32.0,0.00015578347777984213,0.005793623776124873,1
I102149020,0.0015503875968992248,5.0,4.1677085938151204e-07,0.002047988512921621,1
I102197404,0.0015503875968992248,5.0,0.0,0.001902107185901116,11
I102208913,0.0015503875968992248,6.0,0.0005157058495393079,1.7779246685985465e-05,12
I102322142,0.011162790697674419,36.0,0.0015785060052583256,0.00482005123179418,8
I102335020,0.010232558139534885,33.0,0.0008924538319633399,0.007404397304574632,13
I102401767,0.0,0.0,0.0,6.792993660413522e-36,14
I102461120,0.000310077519379845,1.0,0.0,8.903712650577212e-31,15
I102502594,0.02108527131782946,71.0,4.298142833172517e-05,0.04748356545588898,16
I102782458,0.00062015503875969,4.0,0.0,5.182642868357487e-24,17
I102893293,0.0,0.0,0.0,6.792993660413522e-36,18
I103163165,0.020775193798449613,67.0,0.0011312664779357696,0.019874743338874627,19
I103225651,0.013953488372093025,45.0,0.0,0.015068672005062046,20
I103320735,0.0015503875968992248,5.0,0.0,0.00021835252614020538,21
I103356709,0.002170542635658915,7.0,0.0,3.4884379987600996e-05,2
I103531236,0.0015503875968992248,5.0,0.0,0.002261647025016263,16
