id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000001330,0.0010271734055467363,22.0,0.0,1.200108674581327e-05,0
A5000006086,0.0,0.0,0.0,2.028022805555577e-135,1
A5000015386,0.0004202073022691194,9.0,0.0,5.387476590501682e-07,2
A5000015851,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,3
A5000019783,0.00037351760201699503,13.0,0.0,1.0837834276790132e-56,4
A5000029432,0.0,0.0,0.0,2.028022805555577e-135,5
A5000034409,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,6
A5000039831,0.0007003455037818657,15.0,0.0,6.620839678493307e-50,7
A5000043237,0.0024745541133625922,93.0,0.0036144882983432294,0.00019279766300000904,8
A5000061162,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,9
A5000095866,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,10
A5000099903,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,11
A5000115067,0.0006536558035297413,14.0,5.229734754934315e-05,4.784892755886957e-11,12
A5000122127,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,13
A5000126238,0.001120552806050985,24.0,0.0,0.00021484201673425347,2
A5000127111,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,14
A5000132022,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,15
A5000133452,0.0006536558035297413,14.0,0.0,3.8634075435640495e-37,16
A5000135593,0.00018675880100849752,4.0,0.0,6.872750602896558e-07,17
A5000136911,0.0004202073022691194,9.0,0.0,1.737531742346023e-12,414
A5000142410,0.0,0.0,0.0,2.028022805555577e-135,19
A5000155122,0.0008871043047903632,19.0,0.0,5.40669999702003e-43,20
A5000156461,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,21
A5000173131,0.0004668970025212438,10.0,0.0,8.996296536937922e-10,22
A5000192505,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,23
A5000192581,0.0002334485012606219,5.0,0.0,5.028568617605943e-17,24
A5000196131,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,25
A5000205211,0.0006536558035297413,14.0,0.0,6.449888802649802e-52,26
A5000214180,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,27
A5000226430,0.0004668970025212438,10.0,0.0,4.802378754119623e-13,28
A5000231744,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,29
A5000232528,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,30
A5000245959,0.00037351760201699503,8.0,0.0,0.0004381248437994517,31
A5000265897,0.0028947614156317114,71.0,1.1647737199305802e-05,2.7366244224906213e-10,32
A5000279490,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,33
A5000299138,0.0002334485012606219,5.0,0.0,3.8975661505129225e-13,134
A5000300751,0.00032682790176487064,7.0,0.0,5.627190367973613e-71,35
A5000303572,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,36
A5000324199,0.0012139322065552339,26.0,0.0,7.094116004726216e-23,37
A5000326701,0.00014006910075637312,3.0,0.0,5.407922366222717e-71,38
A5000341866,0.001354001307311607,34.0,0.00033993275907073057,3.0724210753294743e-09,39
A5000348407,0.0007003455037818657,15.0,0.0,6.303642907323464e-50,40
A5000351035,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,41
A5000354437,0.00037351760201699503,8.0,0.0,1.143644391775941e-67,42
A5000358833,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,43
A5000363449,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,44
A5000377034,0.0008871043047903632,19.0,0.0,3.803499553762071e-40,45
A5000384489,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,46
A5000400312,0.00032682790176487064,7.0,0.0,2.6696966151144307e-71,47
A5000403795,9.337940050424876e-05,2.0,0.0,1.5229369349934825e-101,48
A5000409439,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,49
A5000411800,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,50
A5000421658,0.0006069661032776169,13.0,0.0,4.8102025873088156e-54,51
A5000424391,0.00028013820151274625,6.0,0.0,1.786655166399249e-74,52
A5000432413,0.0008871043047903632,22.0,0.0002864923226135555,1.5689916919176678e-12,74
A5000470166,0.00028013820151274625,6.0,0.0,2.0372000372092235e-75,54
A5000474356,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,55
A5000483689,0.0010271734055467363,22.0,0.0,9.766730220478184e-39,56
A5000487855,0.00037351760201699503,8.0,0.0,3.762213462601746e-10,57
A5000492991,0.0004202073022691194,9.0,0.0,3.514971191219745e-13,58
A5000493089,0.0004668970025212438,10.0,0.0,7.563526014741433e-54,59
A5000502468,0.0002334485012606219,5.0,0.0,3.595933168668725e-80,60
A5000506964,0.0004202073022691194,9.0,0.0,2.028022805555576e-64,61
A5000507732,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,62
A5000513695,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,63
A5000527699,0.0004202073022691194,9.0,0.0,1.316564222689164e-63,64
A5000530436,0.0004668970025212438,10.0,0.00015689204264802945,9.150434430532122e-19,65
A5000534132,0.00014006910075637312,3.0,0.0,1.023333455939079e-16,414
A5000550975,0.00014006910075637312,3.0,0.0,1.1306604960876034e-92,66
A5000554104,0.0004668970025212438,10.0,0.0,1.50297523886747e-09,67
A5000563408,0.0006069661032776169,13.0,0.0,3.5042311489578477e-11,246
A5000564739,0.0002334485012606219,5.0,0.0,1.2710997097214815e-76,69
A5000568474,0.00018675880100849752,4.0,0.0,8.589010670443372e-86,70
A5000577985,0.00037351760201699503,8.0,6.972979673245754e-05,0.0021969723936595136,71
A5000582109,0.00032682790176487064,7.0,0.0,3.22579312625633e-18,24
A5000592356,0.00014006910075637312,3.0,0.0,3.693613285427982e-13,72
A5000592461,4.668970025212438e-05,1.0,0.0,4.78853346172546e-114,73
