id,author_id,display_name,main_institution_name,main_institution_id,main_institution_type,simplified_institution_category,target_firm_label,publication_count,year_list,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community,neighbor_institution_category_count,neighbor_target_firm_count,years_active_in_dataset
A5034052371,A5034052371,Choong Seon Hong,Kyung Hee University,I35928602,education,education,Other,6,2023;2024;2025,0.0005390171407450757,55.0,0.006314284045260267,4.0617747507960395e-07,139,2,0,2023;2024;2025
A5061512999,A5061512999,Denny Zhou,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,22,2022;2023;2024;2025,0.0016016509324996535,192.0,0.006223616984786911,0.00017602344403404944,14,4,1,2022;2023;2024;2025
A5043098453,A5043098453,Yankai Lin,Renmin University of China,I78988378,education,education,Other,8,2022;2023;2024;2025,0.0016632528914419479,145.0,0.006203185571008769,2.3074216587049873e-05,178,3,0,2022;2023;2024;2025
A5091272738,A5091272738,Jure Leskovec,Stanford University,I97018004,education,education,Other,10,2022;2023;2024;2025,0.0011088352609612986,90.0,0.005946200040409995,5.6250119669984214e-05,56,5,3,2022;2023;2024;2025
A5100752686,A5100752686,Ping Luo,University of Hong Kong,I889458895,education,education,Other,18,2022;2023;2024;2025,0.0022176705219225973,176.0,0.005945796338444809,6.272397884321563e-07,62,4,1,2022;2023;2024;2025
A5004225142,A5004225142,Tongshuang Wu,Carnegie Mellon University,I74973139,education,education,Other,12,2022;2023;2024;2025,0.0017864568093265366,147.0,0.00593753268004713,2.1988971879241117e-05,178,4,2,2022;2023;2024;2025
A5083081872,A5083081872,Zhiyong Lu,National Institutes of Health,I1299303238,government,government,Other,13,2023;2024;2025,0.0012628401583170345,125.0,0.005646377768025575,1.201079819838128e-06,374,4,0,2023;2024;2025
A5005626854,A5005626854,Chen Change Loy,Nanyang Technological University,I172675005,education,education,Other,16,2022;2023;2024;2025,0.0009548303636055627,97.0,0.005526397662257999,1.2271763763883698e-06,139,4,1,2022;2023;2024;2025
A5050209478,A5050209478,Zhengyuan Yang,Microsoft Research (United Kingdom),I4210164937,company,company,Microsoft,14,2022;2023;2024,0.0006468205688940909,92.0,0.005486931384965099,1.1759573041749523e-06,104,3,1,2022;2023;2024
A5001884064,A5001884064,Shayne Longpre,Massachusetts Institute of Technology,I63966007,education,education,Other,11,2022;2023;2024,0.00158625044276408,148.0,0.0054410751974978445,0.00016449309470285896,14,6,3,2022;2023;2024
A5102004349,A5102004349,Ying Shan,Tencent (China),I2250653659,company,company,Other,30,2022;2023;2024;2025,0.0016478524017063743,188.0,0.00541645307755041,7.699153915714923e-07,1661,4,0,2022;2023;2024;2025
A5022672030,A5022672030,Hai-Tao Zheng,Tsinghua University,I99065089,education,education,Other,14,2022;2023;2024;2025,0.0011396362404324457,129.0,0.005077252118930438,4.296824299113269e-06,178,3,1,2022;2023;2024;2025
A5067919401,A5067919401,Luke Zettlemoyer,University of Washington,I201448701,education,education,Other,23,2022;2023,0.0021714690527158765,216.0,0.005052657371592367,5.311175269004554e-05,214,5,2,2022;2023
A5014662947,A5014662947,Furu Wei,Microsoft Research Asia (China),I4210113369,company,company,Microsoft,28,2022;2023;2024;2025,0.0016324519119708008,172.0,0.004891266737951872,1.0364945713242294e-05,104,4,2,2022;2023;2024;2025
A5066553616,A5066553616,Shaoting Zhang,Beijing Academy of Artificial Intelligence,I4210100255,other,unknown,Other,19,2023;2024;2025,0.0021098670937735823,179.0,0.004885660465437755,3.647542909142825e-07,189,5,0,2023;2024;2025
A5048346353,A5048346353,Qingsong Wen,Alibaba Group (United States),I4210095624,company,company,Other,14,2023;2024;2025,0.0011858377096391666,105.0,0.0048107524719027935,4.199087339079735e-05,116,5,0,2023;2024;2025
A5082305994,A5082305994,Hannaneh Hajishirzi,University of Washington,I201448701,education,education,Other,22,2022;2023;2024;2025,0.001247439668581461,148.0,0.004804992976246782,2.119179351688995e-05,1665,3,1,2022;2023;2024;2025
A5019494985,A5019494985,Hoifung Poon,Microsoft (United States),I1290206253,company,company,Microsoft,16,2022;2023;2024;2025,0.001817257788797684,182.0,0.004662458638068494,1.4532738359173638e-06,104,3,1,2022;2023;2024;2025
A5100320723,A5100320723,Zhiyuan Liu,Tsinghua University,I99065089,education,education,Other,19,2022;2023;2024;2025,0.00257188178584079,279.0,0.0046434678353076755,2.8272608266492045e-05,178,4,1,2022;2023;2024;2025
A5087088138,A5087088138,Dan Jurafsky,Stanford University,I97018004,education,education,Other,13,2022;2023;2024,0.0006314200791585172,80.0,0.004608099248085402,0.0006488434395391623,4,2,0,2022;2023;2024
A5102992157,A5102992157,Yejin Choi,University of Washington,I201448701,education,education,Other,21,2022;2023;2024;2025,0.0012320391788458874,133.0,0.004589906198742944,1.1389512634902093e-05,1665,3,2,2022;2023;2024;2025
A5057864403,A5057864403,Jingren Zhou,Alibaba Group (United States),I4210095624,company,company,Other,22,2022;2023;2024;2025,0.0027258866831965257,242.0,0.0044565845799515455,1.0569762716267589e-07,658,4,0,2022;2023;2024;2025
A5044665993,A5044665993,Xipeng Qiu,Fudan University,I24943067,education,education,Other,26,2022;2023;2024;2025,0.0028490906010811144,316.0,0.004436425048733698,9.021167354994416e-07,62,4,1,2022;2023;2024;2025
A5087818121,A5087818121,Wanli Ouyang,Shanghai Artificial Intelligence Laboratory,I4391012619,facility,research_institute,Other,16,2023;2024;2025,0.001771056319590963,150.0,0.004239691600953938,2.7199937160243978e-08,71,5,0,2023;2024;2025
A5100732450,A5100732450,Hongsheng Li,Chinese University of Hong Kong,I177725633,education,education,Other,20,2022;2023;2024;2025,0.001848058768268831,183.0,0.004214692862218122,9.266722080449108e-08,139,4,1,2022;2023;2024;2025
A5100421963,A5100421963,Rui Zhang,University of Minnesota,I130238516,education,education,Other,10,2022;2023;2024;2025,0.001247439668581461,99.0,0.004184439845053205,1.6410376407919997e-05,1665,4,1,2022;2023;2024;2025
A5018859884,A5018859884,George Shih,Cornell University,I205783295,education,education,Other,4,2023;2024;2025,0.0004928156715383549,35.0,0.004143706394054793,4.320171335084391e-08,29,1,0,2023;2024;2025
A5084072550,A5084072550,Hua Xu,Yale University,I32971472,education,education,Other,12,2022;2023;2024;2025,0.0013244421172593289,121.0,0.004047618495257923,8.844732903322194e-06,374,4,0,2022;2023;2024;2025
A5090674915,A5090674915,Koji Kamagata,Juntendo University,I34077901,education,education,Other,3,2024;2025,0.00046201469206720775,39.0,0.004008136840798416,3.381315326023498e-10,29,2,0,2024;2025
A5055469774,A5055469774,Jiebo Luo,University of Rochester,I5388228,education,education,Other,13,2022;2023;2024;2025,0.0016940538709130952,124.0,0.003967437645988134,8.436533458492016e-06,150,3,2,2022;2023;2024;2025
A5100707460,A5100707460,Mengdi Wang,Princeton University,I20089843,education,education,Other,15,2022;2023;2024;2025,0.0010010318328122834,104.0,0.003965219220461418,6.926649361737882e-06,528,5,1,2022;2023;2024;2025
A5071693446,A5071693446,Jianing Qiu,Chinese University of Hong Kong,I177725633,education,education,Other,10,2023;2024;2025,0.0018942602374755519,176.0,0.003918209425975771,5.289823655330607e-07,95,5,0,2023;2024;2025
A5058429770,A5058429770,Quanzheng Li,Massachusetts General Hospital,I4210087915,healthcare,healthcare,Other,23,2022;2023;2024;2025,0.0024024763987494802,331.0,0.003778585402898241,0.0034878354239986217,69,4,0,2022;2023;2024;2025
A5101315776,A5101315776,Le Hou,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,13,2022;2023;2025,0.0017094543606486687,218.0,0.0035662211562782257,0.000875481802126271,14,5,1,2022;2023;2025
A5114910293,A5114910293,Jianfeng Gao,Microsoft (United States),I1290206253,company,company,Microsoft,18,2022;2023;2024;2025,0.0016170514222352272,141.0,0.003521339894921508,1.5539224178826182e-06,104,3,2,2022;2023;2024;2025
A5054031099,A5054031099,Dmitriy Dligach,Loyola University Chicago,I1925986,education,education,Other,3,2025,0.0006160195894229437,56.0,0.0034925793004742488,7.5251475342498205e-06,535,4,0,2025
A5100664512,A5100664512,Xinyuan Chen,Shanghai Artificial Intelligence Laboratory,I4391012619,facility,research_institute,Other,5,2022;2023;2024,0.0005236166510095021,53.0,0.00349210385279206,4.273227909612959e-07,139,4,0,2022;2023;2024
A5028863551,A5028863551,Franck Dernoncourt,Adobe Systems (United States),I1306409833,company,company,Other,11,2022;2023;2024;2025,0.0011858377096391666,111.0,0.0034807586531380376,5.318644496807531e-07,150,2,0,2022;2023;2024;2025
A5089404640,A5089404640,Tat‐Seng Chua,National University of Singapore,I165932596,education,education,Other,19,2022;2023;2024;2025,0.0009702308533411363,96.0,0.0034700527665819285,7.8416042757889e-06,116,2,0,2022;2023;2024;2025
A5100620486,A5100620486,Fei Huang,Alibaba Group (Cayman Islands),I4210086143,company,company,Other,13,2023;2024;2025,0.0012628401583170345,134.0,0.0034482732441412116,2.2319899386830315e-07,658,5,0,2023;2024;2025
A5065663195,A5065663195,Carrie J. Cai,Google (United States),I1291425158,company,company,Google / Google DeepMind / DeepMind,9,2022;2023;2024;2025,0.0003850122433893398,49.0,0.003405113803030401,3.574977262817845e-05,4,2,1,2022;2023;2024;2025
A5085736941,A5085736941,Weihua Luo,Alibaba Group (China),I45928872,company,company,Other,2,2022;2024,0.00023100734603360388,15.0,0.0034011489103085257,6.440766205012507e-10,147,2,1,2022;2024
A5041175834,A5041175834,Nigam H. Shah,Stanford University,I97018004,education,education,Other,24,2022;2023;2024;2025,0.0026180832550475107,299.0,0.003346911065456547,0.000308047427133432,102,6,2,2022;2023;2024;2025
A5064829377,A5064829377,Akshay Chaudhari,Stanford University,I97018004,education,education,Other,16,2022;2023;2024;2025,0.0014784470146150647,209.0,0.003314938893173355,4.469413578165165e-05,102,4,3,2022;2023;2024;2025
A5001994692,A5001994692,Esin Durmus,Stanford University,I97018004,education,education,Other,12,2022;2023;2024,0.0020944666040380085,193.0,0.0032786075192080258,0.045338582142090356,261,3,2,2022;2023;2024
A5005443526,A5005443526,Shafiq Joty,Salesforce (United States),I4210155268,company,company,Other,17,2022;2023;2024;2025,0.0011858377096391666,121.0,0.0032458060679531257,6.906869871303514e-06,1665,2,0,2022;2023;2024;2025
A5100374360,A5100374360,Bo Li,,,,unknown,Other,9,2022;2023;2024,0.0007238230175719588,58.0,0.003192294144941861,7.596965312195347e-07,139,2,4,2022;2023;2024
A5081787254,A5081787254,Dragomir Radev,Yale University,I32971472,education,education,Other,11,2022;2023,0.0016016509324996535,137.0,0.003185297678569588,3.0767571823330086e-05,1665,4,2,2022;2023
A5063722751,A5063722751,Swaroop Mishra,Arizona State University,I55732556,education,education,Other,13,2022;2023;2024;2025,0.0010934347712257251,96.0,0.0031664804569867732,3.509272673111716e-05,1665,4,2,2022;2023;2024;2025
A5002072267,A5002072267,Humphrey Shi,Georgia Institute of Technology,I130701444,education,education,Other,16,2022;2023;2024;2025,0.0007238230175719588,81.0,0.0031372420690677213,1.6811961731357018e-07,87,2,1,2022;2023;2024;2025
A5089413311,A5089413311,Diyi Yang,Stanford University,I97018004,education,education,Other,26,2022;2023;2024;2025,0.0020482651348312877,168.0,0.0030209086433156114,5.706151933935498e-05,4,5,1,2022;2023;2024;2025
A5017598734,A5017598734,Joel Jang,University of Washington,I201448701,education,education,Other,10,2022;2023;2025,0.0011858377096391666,98.0,0.0030047966289006908,9.048036019137328e-07,77,4,2,2022;2023;2025
A5100345753,A5100345753,Yu Li,Chinese University of Hong Kong,I177725633,education,education,Other,11,2022;2023;2024;2025,0.001509247994086212,171.0,0.0029889524194668827,7.52672995229726e-07,62,3,0,2022;2023;2024;2025
A5042324027,A5042324027,Hanwang Zhang,Nanyang Technological University,I172675005,education,education,Other,11,2023;2024;2025,0.0007238230175719588,62.0,0.0029818755612731618,1.5696260935817094e-07,1661,3,1,2023;2024;2025
A5001094226,A5001094226,Pranav Rajpurkar,Harvard University,I136199984,education,education,Other,14,2022;2023;2024;2025,0.0011088352609612986,93.0,0.002974612933207582,8.967203494988727e-07,104,5,1,2022;2023;2024;2025
A5100431792,A5100431792,Wei Liu,Tencent (China),I2250653659,company,company,Other,11,2022;2023;2025,0.0011088352609612986,121.0,0.0029632587171086536,0.0014497875597828333,69,4,0,2022;2023;2025
A5100783219,A5100783219,Hong-Yu Zhou,Harvard University,I136199984,education,education,Other,8,2022;2024;2025,0.0012166386891103139,97.0,0.002903918678376302,1.3659535723843372e-07,326,5,0,2022;2024;2025
A5049618494,A5049618494,Nouha Dziri,University of Waterloo,I151746483,education,education,Other,7,2023;2024;2025,0.0007084225278363853,62.0,0.0028882685862849735,1.909851334424508e-06,1665,4,1,2023;2024;2025
A5101424484,A5101424484,Ruiyi Zhang,Adobe Systems (United States),I1306409833,company,company,Other,9,2022;2023;2024,0.0006006190996873701,70.0,0.0028592147342753364,8.1000950493351e-07,150,2,2,2022;2023;2024
A5086198262,A5086198262,Yoshua Bengio,Mila - Quebec Artificial Intelligence Institute,I4210164802,facility,research_institute,Other,6,2022;2023;2024,0.0014630465248794912,99.0,0.0028191762371444335,2.3370859986260173e-06,56,4,2,2022;2023;2024
A5069782842,A5069782842,Yushi Hu,University of Washington,I201448701,education,education,Other,11,2022;2023;2024;2025,0.0007700244867786796,85.0,0.00278232286042734,4.155901704614407e-06,1665,2,2,2022;2023;2024;2025
A5077079119,A5077079119,Thomas L. Griffiths,Princeton University,I20089843,education,education,Other,12,2022;2023;2024;2025,0.0013244421172593289,170.0,0.00277260096265044,3.087491920675366e-05,85,4,1,2022;2023;2024;2025
A5042874172,A5042874172,Qingyu Chen,Yale University,I32971472,education,education,Other,12,2023;2024;2025,0.00158625044276408,151.0,0.002747389880787482,6.558719596685345e-06,374,4,0,2023;2024;2025
A5100567599,A5100567599,Pan Lu,,,,unknown,Other,6,2022;2023,0.0005236166510095021,50.0,0.002687994829723828,4.163340539520022e-07,1665,4,1,2022;2023
A5087920747,A5087920747,Shuming Shi,Tencent (China),I2250653659,company,company,Other,16,2022;2023;2024,0.001016432322547857,107.0,0.002661760192119694,3.6081953493513795e-07,200,2,1,2022;2023;2024
A5056748708,A5056748708,Píetro Lió,University of Cambridge,I241749,education,education,Other,6,2022;2024;2025,0.0008932284046632683,69.0,0.002640040216319512,7.288238769212087e-08,56,4,2,2022;2024;2025
A5088834359,A5088834359,Xuanjing Huang,Fudan University,I24943067,education,education,Other,19,2022;2023;2024;2025,0.001848058768268831,193.0,0.0026016429597633976,2.1268505781595324e-07,62,2,0,2022;2023;2024;2025
A5111185084,A5111185084,Christian Bluethgen,University Hospital of Zurich,I4210100468,funder,unknown,Other,8,2022;2023;2024;2025,0.0008316264457209739,100.0,0.0025944932738270854,1.2604465826425625e-05,102,4,0,2022;2023;2024;2025
A5102880548,A5102880548,Yunxin Liu,Tsinghua University,I99065089,education,education,Other,5,2023;2024,0.0008932284046632683,67.0,0.0025839706730970383,1.1964679798964812e-08,8,2,1,2023;2024
A5041031140,A5041031140,Enze Xie,Huawei Technologies (Canada),I4210115038,company,company,Other,11,2023;2024;2025,0.001278240648052608,152.0,0.002579790796100368,9.651144105934256e-07,62,3,0,2023;2024;2025
A5073483894,A5073483894,Jakob Nikolas Kather,Heidelberg University,I223822909,education,education,Other,28,2022;2023;2024;2025,0.0016324519119708008,237.0,0.0025763583470441095,3.0236429460612726e-08,182,5,0,2022;2023;2024;2025
A5022382771,A5022382771,Mingyu Ding,University of Hong Kong,I889458895,education,education,Other,7,2022;2023;2025,0.0011858377096391666,128.0,0.0025724564034485978,7.68241562498269e-07,62,3,0,2022;2023;2025
A5013834379,A5013834379,Pushmeet Kohli,Google DeepMind (United Kingdom),I4210090411,company,company,Google / Google DeepMind / DeepMind,7,2022;2023;2024,0.0026180832550475107,178.0,0.002556080359366866,9.096883017393087e-05,21,4,2,2022;2023;2024
A5010253402,A5010253402,Yonghui Wu,University of Florida Health,I2800717037,education,education,Other,10,2022;2023;2024;2025,0.0010626337917545778,130.0,0.0025537976900514466,1.076800700944418e-05,374,2,2,2022;2023;2024;2025
A5068937750,A5068937750,Mike Zheng Shou,National University of Singapore,I165932596,education,education,Other,16,2022;2023;2024;2025,0.0011858377096391666,113.0,0.002547008804343671,1.2615965633276723e-07,1661,3,0,2022;2023;2024;2025
A5058973104,A5058973104,Renato Cuocolo,University of Salerno,I131729948,education,education,Other,4,2023;2024;2025,0.0003850122433893398,38.0,0.0025365069327985303,1.8722449184843615e-07,182,3,0,2023;2024;2025
A5002459081,A5002459081,Hamed Alemohammad,Clark University,I130785548,education,education,Other,6,2023;2024;2025,0.0013244421172593289,148.0,0.0025322302398531156,3.4407836291100673e-07,124,5,0,2023;2024;2025
A5100342828,A5100342828,Ya Zhang,Shanghai Jiao Tong University,I183067930,education,education,Other,15,2022;2023;2024;2025,0.000908628894398842,97.0,0.002505662399574004,2.531422154232377e-08,1165,3,0,2022;2023;2024;2025
A5100700956,A5100700956,Jindong Wang,Microsoft Research Asia (China),I4210113369,company,company,Microsoft,14,2022;2023;2024;2025,0.0013398426069949024,144.0,0.0024682624050618037,9.363889711561519e-07,200,5,2,2022;2023;2024;2025
A5103103242,A5103103242,Wenhu Chen,University of Waterloo,I151746483,education,education,Other,22,2022;2023;2024;2025,0.0016940538709130952,135.0,0.002464680987263669,2.6642319467038157e-06,71,3,3,2022;2023;2024;2025
