id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000005785,0.0,0.0,0.0,5.5095984033568355e-21,0
A5000018396,0.000178826895565093,3.0,0.0,1.4443081638495743e-15,1
A5000019783,0.0002384358607534573,4.0,0.0,1.076093438155632e-14,2
A5000021633,0.0002384358607534573,4.0,0.0,1.076093438155632e-14,3
A5000023371,0.000178826895565093,3.0,0.0,1.4443081638495743e-15,4
A5000024193,0.000715307582260372,12.0,0.0,5.842653281387934e-11,5
A5000026575,0.000357653791130186,6.0,0.0,2.8480335612539106e-07,6
A5000027382,0.00029804482594182163,5.0,0.0,5.552405779111559e-14,7
A5000034124,0.001072961373390558,18.0,0.0,1.7778796244660714e-09,8
A5000038422,0.0013710061993323795,23.0,0.0,1.5269219801902267e-08,9
A5000039237,0.00220553171196948,37.0,0.0,9.102743677266291e-07,10
A5000043237,0.0007749165474487363,13.0,0.0,3.984403741241469e-07,11
A5000067976,0.00011921793037672866,2.0,0.0,1.0844542537327259e-16,12
A5000072353,0.0004768717215069146,8.0,0.0,3.711945252636519e-10,13
A5000074622,0.0002384358607534573,4.0,0.0,3.401109804862115e-14,14
A5000080119,0.0,0.0,0.0,5.5095984033568355e-21,15
A5000083284,0.00011921793037672866,2.0,0.0,1.0844542537327259e-16,16
A5000091089,0.0020863137815927513,35.0,0.0,9.343093638553374e-07,17
A5000105147,0.00041726275631855027,7.0,0.0,4.851744354059145e-12,18
A5000111344,0.0007749165474487363,14.0,2.1859226425468583e-05,1.7679018781532105e-09,13
A5000115067,0.002503576537911302,54.0,0.0006616591633239745,1.0849260124823686e-05,6
A5000126238,0.002145922746781116,37.0,0.00046645624764400385,2.1385732229562263e-06,19
A5000133219,0.001251788268955651,21.0,0.0,6.6515685547686685e-09,20
A5000137935,0.0004768717215069146,8.0,0.0,2.134531307622123e-12,21
A5000141628,0.0002384358607534573,4.0,3.9744048046306543e-07,1.2418689897150338e-15,22
A5000145305,0.000715307582260372,12.0,0.0,2.587704373695185e-07,23
A5000152361,0.00011921793037672866,2.0,0.0,1.0844542537327259e-16,24
A5000157874,5.960896518836433e-05,1.0,0.0,2.8209143825186998e-18,25
A5000168915,0.00029804482594182163,5.0,0.0,3.1468487762921315e-07,26
A5000174202,0.000357653791130186,6.0,0.0,2.223321686968891e-13,27
A5000176767,0.00011921793037672866,2.0,0.0,1.0844542537327259e-16,28
A5000183010,0.0006556986170720076,11.0,0.0,2.8428317589051186e-11,29
A5000183143,0.0013113972341440151,44.0,0.0,4.169006460199462e-06,30
A5000188096,0.001072961373390558,18.0,0.0,1.8268509146247784e-08,31
A5000190032,0.00041726275631855027,7.0,0.0,7.394857798909816e-13,32
A5000192888,0.000536480686695279,9.0,0.0,5.509598403356834e-12,33
A5000197017,0.0,0.0,0.0,5.5095984033568355e-21,34
A5000207495,0.000715307582260372,12.0,0.0,5.842653281387934e-11,35
A5000232184,0.0002384358607534573,4.0,0.0,5.0559430294629965e-14,36
A5000235387,0.000178826895565093,3.0,0.0,1.4443081638495743e-15,37
A5000245150,0.000178826895565093,3.0,0.0,5.84873072104114e-11,31
A5000258665,0.0004768717215069146,8.0,0.0,2.134531307622123e-12,38
A5000277651,0.00011921793037672866,2.0,0.0,1.0844542537327259e-16,39
A5000280018,0.0013710061993323795,23.0,0.0,1.4555298605594199e-08,40
A5000283424,0.000178826895565093,3.0,0.0,1.4443081638495743e-15,41
A5000283605,0.000715307582260372,12.0,0.0,5.842653281387934e-11,42
A5000290221,0.000357653791130186,6.0,0.0,2.223321686968891e-13,43
A5000290961,0.000178826895565093,3.0,0.0,1.4443081638495743e-15,44
A5000291379,0.0,0.0,0.0,5.5095984033568355e-21,45
A5000300454,0.0006556986170720076,11.0,0.0,8.713651869388736e-08,46
A5000308763,0.00041726275631855027,7.0,0.0,7.394857798909816e-13,47
A5000329984,0.000536480686695279,9.0,0.0,5.509598403356834e-12,48
A5000340275,0.0002384358607534573,4.0,0.0,1.076093438155632e-14,49
A5000349449,0.002920839294229852,49.0,0.0,1.0760934381556349e-05,50
A5000369202,0.00011921793037672866,2.0,0.0,1.0844542537327259e-16,51
A5000374325,0.00041726275631855027,7.0,0.0,7.394857798909816e-13,52
A5000377034,0.000178826895565093,3.0,0.0,1.4443081638495743e-15,53
A5000398020,0.000357653791130186,6.0,0.0,2.223321686968891e-13,54
