id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I100005738,0.0007689350249903883,2.0,0.0,0.0007753426622625333,0
I100066346,0.002306805074971165,6.0,0.0,0.005262743418850739,67
I10052268,0.00038446751249519417,1.0,0.0,0.00012841003492071546,0
I100532134,0.0038446751249519417,10.0,6.678327439573113e-05,0.0020771435392061928,67
I100633361,0.0,0.0,0.0,1.3210364050949612e-98,3
I10091056,0.0011534025374855825,3.0,0.0,0.00048057472427863793,67
I100930933,0.01653210303729335,95.0,0.004122013500617879,0.17461984496386745,5
I101155339,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,6
I101202996,0.0007689350249903883,2.0,0.0,0.00011560009904729348,7
I101407740,0.0030757400999615533,8.0,0.002431017655931151,2.876052349603202e-06,105
I101479585,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,9
I102015815,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,10
I102064193,0.0,0.0,0.0,1.3210364050949612e-98,11
I102134673,0.00461361014994233,13.0,0.0007343090076654092,0.0035725872082974595,12
I102149020,0.011149557862360632,29.0,4.515416020606335e-05,0.004694545157511492,13
I102239671,0.0011534025374855825,3.0,0.0,7.004518650652413e-05,13
I102248843,0.004229142637447136,11.0,3.401058764380564e-06,0.0009236506721599307,0
I102322142,0.0196078431372549,58.0,0.005991818021717757,0.015081067799153556,29
I102335020,0.007689350249903883,22.0,0.002830974773016296,0.005963573145157098,50
I102461120,0.0,0.0,0.0,1.3210364050949612e-98,17
I102913810,0.00038446751249519417,1.0,0.0,9.824510230918605e-07,13
I103163165,0.0015378700499807767,4.0,0.0006175632646220882,0.00020383152438093922,18
I103193709,0.00922722029988466,24.0,0.0,0.001064290692817157,13
I103250015,0.006151480199923107,16.0,1.508295625942685e-05,0.007075098594234172,19
I103320735,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,20
I103356709,0.0030757400999615533,8.0,0.0,0.003493446083066989,5
I103434671,0.0011534025374855825,3.0,0.0,2.679380146947152e-67,21
I103531236,0.0011534025374855825,3.0,0.0,0.0008821850475869977,0
I103635307,0.0015378700499807767,4.0,0.00121698754916748,0.00019553196122604983,68
I104234503,0.0038446751249519417,10.0,0.0,2.088947078270808e-05,23
I104338594,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,24
I10457146,0.0,0.0,0.0,1.3210364050949612e-98,25
I104941359,0.0034602076124567475,9.0,0.0012166918049270991,1.6623694315145021e-06,26
I10535382,0.0011534025374855825,3.0,0.0,0.0010438151640284562,46
I105818395,0.0007689350249903883,2.0,0.0,8.535324391968169e-74,28
I106157433,0.016147635524798157,42.0,0.0,0.017756152897630963,12
I106165777,0.0057670126874279125,15.0,0.002877922198645732,0.0010666036911706593,12
I106296451,0.0015378700499807767,8.0,0.0,4.9388796209720424e-05,29
I106778892,0.0030757400999615533,8.0,0.002431017655931151,8.640808090271458e-05,30
I106938459,0.0,0.0,0.0,1.3210364050949612e-98,31
I106969075,0.002306805074971165,6.0,0.0,0.004657377919285476,0
I107077323,0.02114571318723568,55.0,0.00043580458547147493,0.008333007721610722,13
I107575416,0.012687427912341408,33.0,0.0,0.004904223059901888,23
I107606265,0.013071895424836602,38.0,1.5480098525081225e-05,0.04161431553363085,67
I107639228,0.004998077662437524,13.0,0.0017310655618037385,0.0046080961495532004,46
I107672454,0.011918492887351018,32.0,7.759530827581577e-06,0.01952075499952697,67
I108192572,0.014225297962322185,38.0,1.4052780488766651e-05,0.03722932092623191,67
I108290504,0.011918492887351018,35.0,0.004409627181225513,0.014432128462658355,68
I108403487,0.006151480199923107,17.0,0.008477508650519033,0.00869727398501431,18
I108468826,0.005382545174932718,14.0,3.227238607861446e-05,0.0033326845868080577,29
I108526665,0.0015378700499807767,11.0,0.0,2.1624924490752842e-43,34
I109009565,0.0038446751249519417,10.0,0.0,2.088947078270808e-05,23
I10947320,0.0019223375624759708,5.0,0.0,0.0035053949976642006,19
I109736498,0.012687427912341408,38.0,0.0,0.04090342790855662,67
I109935558,0.0007689350249903883,2.0,0.0,0.0005446484044151398,46
I109954829,0.00038446751249519417,3.0,0.0,2.679380146947152e-67,35
I110079840,0.0007689350249903883,2.0,0.0,8.479029393283445e-05,50
I110092051,0.00038446751249519417,1.0,0.0,2.8576486807625333e-06,18
I110120368,0.00038446751249519417,1.0,0.0,3.731091509799769e-06,50
I110166357,0.0019223375624759708,5.0,0.0,0.00044065567777081715,13
I11019714,0.013071895424836602,34.0,0.0006086416467039305,0.010004912359545025,19
I111088046,0.00461361014994233,18.0,0.0012435059493883023,0.010972234209787676,37
I11123151,0.0,0.0,0.0,1.3210364050949612e-98,38
I111398093,0.004229142637447136,15.0,0.005456836128116404,0.0001242470694250536,18
I111483173,0.002691272587466359,9.0,0.0,0.005723599505590177,46
I1118541,0.012687427912341408,33.0,0.0,0.010002972461175237,19
I111950717,0.00922722029988466,43.0,0.002187107522747663,0.03829202785608249,46
I111979921,0.023452518262206845,75.0,0.004681491250495781,0.025211909190367976,7
I112612939,0.011149557862360632,29.0,0.0,0.015637037394683032,67
I112728665,0.0011534025374855825,4.0,0.0,0.0006639532589738953,67
I112862951,0.0,0.0,0.0,1.3210364050949612e-98,39
I113428412,0.002306805074971165,6.0,0.0,0.0019129178208440443,67
I113456305,0.0011534025374855825,3.0,0.001824150474669506,0.00028140635048525697,12
I113940042,0.0030757400999615533,8.0,0.0006536736363725984,0.00039458967861704644,46
I114017466,0.0019223375624759708,5.0,0.005454989369637582,0.00018278479792742456,18
I114027177,0.004998077662437524,20.0,0.0006089479532386109,0.007724359510910107,0
I114090438,0.010765090349865437,51.0,0.007365075959427324,0.016383606385445004,67
I114112103,0.004229142637447136,11.0,0.0,0.00178684532891312,50
I114203471,0.0011534025374855825,3.0,0.0,7.293569463090812e-05,68
I114395901,0.0011534025374855825,3.0,0.0,0.0002997452356742022,37
I114531698,0.0019223375624759708,6.0,0.00121698754916748,0.000914204316123381,23
I114539943,0.0007689350249903883,2.0,0.0,7.890476514290302e-05,46
I114772536,0.0,0.0,0.0,1.3210364050949612e-98,41
I114832834,0.012302960399846213,34.0,0.00043985159367556704,0.0033961148383726022,13
I114972647,0.0015378700499807767,5.0,0.0006086416467039305,4.541204811930211e-05,68
I115228651,0.002691272587466359,7.0,0.0006131024556630093,0.0018956242297719895,46
I115283149,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,42
I115475287,0.01845444059976932,48.0,0.0,0.004794021388511442,13
I115592961,0.013071895424836602,34.0,1.6265933220950523e-05,0.0049141932487879675,23
I115715567,0.002306805074971165,6.0,0.0,4.065308825265057e-08,18
I116067653,0.002306805074971165,6.0,0.0018247419631502678,0.00017229129150417058,68
I116265982,0.00038446751249519417,1.0,0.0,0.001410934047569862,46
I116660002,0.0011534025374855825,3.0,0.0,0.0003714021039691633,19
I116891498,0.0,0.0,0.0,1.3210364050949612e-98,43
I116953780,0.0057670126874279125,15.0,0.0006152663176884629,0.004509563259525165,46
I11701301,0.02191464821222607,58.0,0.00024113604349973588,0.02794101119971779,12
I117222138,0.0011534025374855825,3.0,0.0,5.1942871160250665e-08,44
I117331123,0.0015378700499807767,4.0,0.0,2.9332900666089443e-62,45
I1174212,0.03575547866205306,109.0,0.017250199395927354,0.05452404282321414,0
I11750234,0.0007689350249903883,2.0,0.0,8.535324391968169e-74,28
I117532281,0.0015378700499807767,4.0,0.0,0.0007374613727735796,18
I117965899,0.0011534025374855825,3.0,0.0,2.2058256264656625e-05,29
I118020396,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,47
I118118575,0.0015378700499807767,4.0,0.0,0.0010839545796286728,46
I118347636,0.029603998462129952,82.0,0.0058864992674748035,0.030885656748751197,12
I118353179,0.0007689350249903883,2.0,0.0,4.046359264077935e-05,67
I118501908,0.0019223375624759708,5.0,1.7744654422855116e-06,9.4215316815158e-66,48
I118564535,0.014994232987312572,40.0,0.0008879770108143805,0.018396523134611063,67
I118692353,0.0007689350249903883,2.0,0.0,0.00037388837905185664,46
I11880225,0.0011534025374855825,3.0,5.914884807618372e-07,1.7809799420536653e-72,49
I11883440,0.0007689350249903883,2.0,0.0,1.5168371849598765e-05,12
I11886867,0.00461361014994233,12.0,0.0,0.000652802322546679,50
I118987531,0.0007689350249903883,2.0,0.0,0.0017444892536300975,46
I119004910,0.0011534025374855825,3.0,2.4559446704775444e-05,0.0003262269105708829,50
I119273862,0.0015378700499807767,4.0,0.0,0.00015144256452040387,46
I11932220,0.0011534025374855825,4.0,0.0,0.00015855260323645353,0
I119575151,0.00038446751249519417,1.0,0.0,0.00032528505899636007,29
I119744171,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,51
I11983389,0.009611687812379855,25.0,0.0006086416467039305,0.00106449712580306,13
I119856527,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,52
I120125038,0.0007689350249903883,2.0,0.0,0.0005793793286967808,50
I12079687,0.00461361014994233,24.0,0.0003872656879551144,0.01007894209791342,5
I12093191,0.0007689350249903883,4.0,0.0,0.00010859722755286786,50
I12097938,0.0007689350249903883,2.0,0.0,0.00013023619199152827,0
I121058860,0.00038446751249519417,1.0,0.0,5.122595750224739e-05,105
I121243025,0.002691272587466359,7.0,0.0,8.710314829165446e-07,30
I121748325,0.0019223375624759708,5.0,0.0,5.250415976586926e-05,0
I121797337,0.002306805074971165,7.0,0.0002200287857727305,0.0014067149570461763,46
I121799043,0.0007689350249903883,2.0,0.0,8.535324391968169e-74,53
I121820613,0.002691272587466359,7.0,0.001824150474669506,0.00028622683993675545,46
I121847817,0.016916570549788543,45.0,0.000586936665368038,0.01802524992491821,12
I121883995,0.006920415224913495,18.0,0.0021210222986462884,0.010387849142189173,46
I121934306,0.00038446751249519417,1.0,0.0,0.0021796604913223317,37
I121980950,0.00038446751249519417,1.0,0.0,2.676586942620086e-06,67
I122140584,0.0019223375624759708,5.0,0.0,0.00015260267798792524,19
I122266389,0.0019223375624759708,5.0,0.0,0.00015260267798792524,19
I122346577,0.009996155324875048,26.0,0.00047242619263343987,0.0037384147750773107,0
I122411786,0.023452518262206845,69.0,0.0012291748471102554,0.05387282065038011,67
I122571602,0.0015378700499807767,4.0,0.0,0.00490796060982953,67
I122964287,0.01845444059976932,48.0,0.0,0.004794021388511442,13
I122991210,0.0011534025374855825,3.0,0.0,0.0003134107794104385,68
I123044942,0.0011534025374855825,4.0,0.0,0.00015855260323645353,0
I12315562,0.0011534025374855825,3.0,0.0012166918049270991,1.7359462934587696e-06,18
I123387679,0.0,0.0,0.0,1.3210364050949612e-98,54
I123431417,0.0034602076124567475,9.0,0.0012166918049270991,0.00812947847337877,7
I123534392,0.006920415224913495,25.0,0.005690715015686182,0.001354060060290996,29
I123565023,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,55
I12356871,0.0011534025374855825,3.0,0.0,0.0002725520118437042,68
I123758333,0.0,0.0,0.0,1.3210364050949612e-98,56
I12379730,0.0,0.0,0.0,1.3210364050949612e-98,57
I123900574,0.0011534025374855825,3.0,0.0,0.001616897752498414,67
I123946342,0.0019223375624759708,5.0,0.0006086416467039305,0.0008223704343875624,37
I124055696,0.009996155324875048,27.0,0.0027921612519548927,0.012216193826002466,50
I124227911,0.0,0.0,0.0,1.3210364050949612e-98,58
I124357947,0.016916570549788543,44.0,0.00020974181527814734,0.013484050467017254,19
I124601658,0.0007689350249903883,2.0,0.0,8.535324391968169e-74,59
I125133608,0.0007689350249903883,2.0,0.0,0.0005965549756382525,46
I12524447,0.0011534025374855825,3.0,0.0,0.00019087168608379436,67
I125680101,0.004229142637447136,11.0,2.801632559418027e-05,0.0008582540208862292,105
I125749732,0.00922722029988466,24.0,0.0,0.0029197192630837773,13
I125839683,0.002691272587466359,7.0,0.0,0.0037215077480098426,46
I125904092,0.0,0.0,0.0,1.3210364050949612e-98,61
I126131087,0.00038446751249519417,1.0,0.0,4.839828979553326e-06,13
I12615008,0.0038446751249519417,10.0,7.393606009522966e-07,0.003386519239931408,46
I126158947,0.012687427912341408,33.0,0.0,0.004904223059901888,23
I126231945,0.020761245674740483,57.0,4.747788966623364e-05,0.012746435369829256,19
I126307644,0.00922722029988466,24.0,3.822318268685052e-05,0.013250332955727058,67
I126520041,0.013071895424836602,47.0,0.003004658206503653,0.021223582781783722,46
I126527374,0.0007689350249903883,2.0,0.0,4.1654975368693194e-66,48
I126633494,0.0011534025374855825,3.0,0.0,2.679380146947152e-67,62
I126744593,0.004229142637447136,12.0,0.000556324127835085,0.001462206241953355,68
I126820664,0.0007689350249903883,2.0,0.0,0.00017970856486482215,18
I126859394,0.0030757400999615533,8.0,0.0,0.0008315625638837517,7
I127328727,0.0011534025374855825,3.0,0.0,0.00019087168608379436,67
I127410070,0.0,0.0,0.0,1.3210364050949612e-98,63
I127439422,0.002306805074971165,6.0,0.0,4.065308825265057e-08,18
I127591826,0.0007689350249903883,2.0,0.0,8.535324391968169e-74,64
I1280581677,0.004998077662437524,13.0,0.0,0.009649447306186961,67
I1282105669,0.013456362937331795,53.0,0.0012777921595683972,0.043840194551437305,37
I1282311441,0.0030757400999615533,8.0,2.895148339208319e-05,0.0035993474178645226,37
I1282927834,0.0038446751249519417,13.0,0.00027486331004208714,0.0012197115260582656,13
I12832649,0.0038446751249519417,10.0,0.009499313450870548,0.0038220795141516205,30
I1283280774,0.013456362937331795,48.0,0.0005671388716371417,0.04109140135528753,67
I12834331,0.0,0.0,0.0,1.3210364050949612e-98,65
I1283595831,0.00038446751249519417,1.0,0.0,0.0021796604913223317,37
I1284598098,0.002691272587466359,12.0,0.0,0.009062495835088762,37
I1285764155,0.0019223375624759708,5.0,0.0,0.00046712414053313366,18
I1285944625,0.0007689350249903883,2.0,0.0,0.00047478707245807454,68
I1285985921,0.00038446751249519417,1.0,0.0,5.949419061728527e-83,66
I1286329397,0.0011534025374855825,4.0,0.0,0.0002605755479693518,0
